UTIL - 2025
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;11.741,62;;;13.604,97;12.741,05;13.979,51;;;
2;10.260,78;;;11.749,85;13.168,89;13.444,76;13.334,21;;13.894,66;;;
3;10.151,35;11.138,94;;12.015,82;;13.558,53;13.608,20;;13.849,19;;;
4;;11.148,90;;11.856,85;;13.476,45;13.612,72;12.718,94;13.986,81;;;
5;;11.148,62;11.196,06;;13.034,17;13.405,22;;12.703,25;14.212,41;;;
6;10.328,46;11.141,17;11.295,42;;13.037,30;13.364,16;;12.919,64;;;;
7;10.442,22;11.007,44;11.461,38;11.720,30;13.072,48;;13.376,47;13.313,38;;;;
8;10.293,36;;;11.778,25;13.277,48;;13.276,03;13.423,90;;;;
9;10.344,75;;;11.939,86;13.271,79;13.232,44;13.126,42;;;;;
10;10.266,06;11.069,98;11.490,89;11.937,81;;13.329,17;13.031,79;;;;;
11;;11.252,82;11.445,88;12.050,57;;13.310,53;12.995,66;13.366,59;;;;
12;;11.127,91;11.467,94;;13.082,49;13.398,35;;13.857,93;;;;
13;10.288,83;11.246,46;11.638,25;;13.309,20;13.364,12;;13.623,12;;;;
14;10.287,01;11.569,05;11.766,41;12.228,26;13.310,27;;12.905,78;13.560,71;;;;
15;10.576,70;;;12.237,51;13.368,90;;12.977,29;13.531,38;;;;
16;10.404,70;;;12.101,02;13.380,54;13.535,10;13.007,31;;;;;
17;10.553,88;11.635,55;11.860,90;12.273,40;;13.542,99;12.994,24;;;;;
18;;11.527,90;11.883,18;;;13.446,44;12.879,67;13.618,60;;;;
19;;11.441,93;12.107,35;;13.482,79;;;13.312,44;;;;
20;10.592,01;11.436,70;12.057,17;;13.595,83;13.335,82;;13.457,68;;;;
21;10.659,37;11.455,67;11.943,52;;13.401,73;;12.926,63;13.411,78;;;;
22;10.690,84;;;12.313,42;13.291,23;;12.800,32;13.668,68;;;;
23;10.579,69;;;12.557,68;13.401,63;13.302,06;12.958,84;;;;;
24;10.577,08;11.284,13;11.783,36;12.858,86;;13.407,11;12.820,49;;;;;
25;;11.445,31;11.895,01;12.902,21;;13.226,22;12.702,30;13.747,98;;;;
26;;11.317,18;11.834,34;;13.480,12;13.314,20;;13.675,34;;;;
27;10.885,73;11.281,36;11.884,16;;13.665,99;13.261,82;;13.862,13;;;;
28;10.865,26;11.239,58;11.789,75;12.935,79;13.538,87;;12.561,44;14.016,30;;;;
29;10.764,80;;;12.908,62;13.684,97;;12.634,01;14.064,41;;;;
30;11.128,95;;;13.152,98;13.573,29;13.543,77;12.809,98;;;;;
31;11.035,43;;11.697,38;;;;12.669,62;;;;;
MÍNIMO;10.151,35;11.007,44;11.196,06;11.720,30;13.034,17;13.226,22;12.561,44;12.703,25;13.849,19;;;
MÍNIMO;11.128,95;11.635,55;12.107,35;13.152,98;13.684,97;13.558,53;13.612,72;14.064,41;14.212,41;;;
